,XETHZEUR_price,volume
2017-05-25 10:15:44.851600000,174.00000,63.50457979
2017-05-25 10:16:05.082700000,174.00000,38.13879097
2017-05-25 10:16:22.275100000,174.00000,254.13748900
2017-05-25 10:16:22.639400000,174.00000,16.40670300
2017-05-25 10:16:23.078500000,174.00000,0.41390500
2017-05-25 10:16:27.336600000,174.00000,0.54173900
2017-05-25 10:16:40.350400000,174.00000,152.62450700
2017-05-25 10:16:41.232400000,174.00000,0.29633400
2017-05-25 10:16:44.574600000,174.00000,5.68425900
2017-05-25 10:16:44.591400000,174.00000,0.16120000
2017-05-25 10:16:45.091000000,174.00000,5.90874100
2017-05-25 10:16:45.929200000,173.99999,0.04000000
2017-05-25 10:16:45.936400000,173.99999,0.02900000
2017-05-25 10:16:48.301200000,174.00000,0.15000000
2017-05-25 10:16:50.999600000,174.00000,1.77480000
2017-05-25 10:16:54.507300000,173.99999,0.56489730
2017-05-25 10:17:01.008500000,173.99999,2.23966270
2017-05-25 10:17:01.024000000,173.99000,11.00000000
2017-05-25 10:17:01.038400000,173.91304,0.00100000
2017-05-25 10:17:01.052900000,173.91302,0.00100000
2017-05-25 10:17:01.071800000,173.91300,0.00100000
2017-05-25 10:17:01.276900000,173.91291,0.46250000
2017-05-25 10:17:01.290500000,173.91290,5.75000474
2017-05-25 10:17:01.305200000,173.33153,2.31210000
2017-05-25 10:17:01.318800000,173.33152,2.77455814
2017-05-25 10:17:01.331700000,173.33109,1.02743698
2017-05-25 10:17:01.509200000,173.00000,0.31000000
2017-05-25 10:17:01.514200000,173.00000,11.56069364
2017-05-25 10:17:01.519700000,173.00000,0.10000000
2017-05-25 10:17:01.537600000,172.70001,1.46004380
2017-05-25 10:17:01.550400000,172.70001,1.00000000
2017-05-25 10:17:03.357500000,174.00000,0.15059965
2017-05-25 10:17:03.488700000,174.00000,2.11071687
2017-05-25 10:17:04.834200000,174.00000,1.05535843
2017-05-25 10:17:08.449000000,174.00000,76.42594616
2017-05-25 10:17:26.474900000,174.00000,1.43678160
2017-05-25 10:17:30.031000000,174.00000,5.00000000
2017-05-25 10:17:36.660500000,173.91307,0.10798596
2017-05-25 10:17:36.677800000,173.91306,1.52331594
2017-05-25 10:17:54.667800000,174.00000,0.52122600
2017-05-25 10:18:05.685000000,174.00000,39.02996823
2017-05-25 10:18:31.734400000,173.91306,0.00100000
2017-05-25 10:18:31.749300000,173.33166,0.05550000
2017-05-25 10:19:03.434100000,173.99998,0.57471264
2017-05-25 10:19:21.800400000,173.99997,0.59195402
2017-05-25 10:19:22.689300000,173.00002,0.00100000
2017-05-25 10:19:22.695900000,173.00002,0.22666241
2017-05-25 10:19:22.699400000,173.00002,1.07233759
2017-05-25 10:19:34.598900000,173.99997,1.38890312
2017-05-25 10:19:34.612000000,173.99998,46.01246735
2017-05-25 10:19:34.996700000,173.99998,6.36327321
2017-05-25 10:20:16.352700000,173.99997,1.31974715
2017-05-25 10:20:19.637400000,173.99997,0.98392491
2017-05-25 10:20:20.673100000,173.99997,0.53300000
2017-05-25 10:20:29.350300000,173.99997,0.52204789
2017-05-25 10:20:29.405700000,173.99997,0.14307146
2017-05-25 10:20:33.721400000,173.99997,1.32392900
2017-05-25 10:20:40.638000000,173.99999,1.00000000
2017-05-25 10:20:52.717800000,173.99998,1.80888930
2017-05-25 10:20:56.427600000,173.99998,0.20689290
2017-05-25 10:20:57.548100000,173.99999,2.00000000
2017-05-25 10:21:22.481300000,173.99999,0.15370000
2017-05-25 10:21:27.036500000,173.99999,0.83190000
2017-05-25 10:21:30.011500000,174.00000,13.00000000
2017-05-25 10:21:30.017900000,174.00000,0.61912000
2017-05-25 10:21:30.022500000,174.00000,2.60000000
2017-05-25 10:21:37.808100000,174.18999,1.00469330
2017-05-25 10:21:37.823800000,174.19000,4.41017570
2017-05-25 10:21:44.479000000,174.19000,6.11037200
2017-05-25 10:21:44.537800000,174.19000,38.66584000
2017-05-25 10:21:46.353500000,174.19000,5.11567500
2017-05-25 10:21:47.339700000,174.00000,10.50000000
2017-05-25 10:21:49.837500000,174.19000,1.93234000
2017-05-25 10:21:50.529900000,174.19000,1.94548900
2017-05-25 10:21:51.957600000,174.18999,1.88956406
2017-05-25 10:21:51.974900000,174.19000,9.31464894
2017-05-25 10:21:53.978800000,174.18998,0.05584893
2017-05-25 10:21:53.997100000,174.19000,4.95064507
2017-05-25 10:22:14.400600000,174.19000,17.31458500
2017-05-25 10:22:25.124500000,174.18999,0.64919485
2017-05-25 10:22:25.948800000,174.18999,0.30018236
2017-05-25 10:22:42.388600000,174.19000,0.28281722
2017-05-25 10:22:44.933400000,174.19000,0.28281722
2017-05-25 10:23:01.414100000,174.19000,5.70000000
2017-05-25 10:23:18.888500000,174.19000,10.38850812
2017-05-25 10:23:18.903400000,174.84990,2.09632378
2017-05-25 10:23:18.920300000,174.85000,1.00000000
2017-05-25 10:23:18.935300000,174.98999,1.04816189
2017-05-25 10:23:18.952300000,174.99000,16.42563792
2017-05-25 10:23:18.993400000,175.00000,0.26558363
2017-05-25 10:23:19.008600000,175.00000,189.54918680
2017-05-25 10:23:19.012800000,175.00000,2.00000000
2017-05-25 10:23:19.017100000,175.00000,67.44059786
2017-05-25 10:24:01.310600000,174.20000,0.08434000
2017-05-25 10:24:03.952400000,174.20000,0.80016000
2017-05-25 10:24:03.971000000,174.10006,0.19922000
2017-05-25 10:24:11.558100000,175.00000,1.70000000
2017-05-25 10:24:11.739800000,174.10007,0.04961599
2017-05-25 10:24:11.756300000,174.10006,0.96048401
2017-05-25 10:24:21.399900000,174.10008,2.46200000
2017-05-25 10:24:39.803700000,174.99994,0.19922000
2017-05-25 10:24:39.823400000,175.00000,0.89940214
2017-05-25 10:24:39.943600000,175.00000,0.32994928
2017-05-25 10:24:40.189100000,174.20001,1.15429852
2017-05-25 10:24:43.171700000,174.20002,0.05442824
2017-05-25 10:24:43.288700000,174.20001,0.43777176
2017-05-25 10:25:06.439900000,174.20001,0.16837895
2017-05-25 10:25:06.558300000,174.20001,1.16663220
2017-05-25 10:25:14.077100000,174.20002,0.36903110
2017-05-25 10:25:35.771200000,174.99998,0.30000000
2017-05-25 10:25:56.243600000,174.99992,0.00240000
2017-05-25 10:26:22.748800000,174.20006,1.14449423
2017-05-25 10:26:23.067300000,174.99992,0.95808401
2017-05-25 10:26:23.079800000,174.99999,0.04191599
2017-05-25 10:26:38.557500000,174.25000,0.50000000
2017-05-25 10:26:39.813200000,174.25000,5.81396000
2017-05-25 10:26:44.247700000,174.70000,6.00000000
2017-05-25 10:26:44.258100000,174.70000,3.39499856
2017-05-25 10:26:44.264799999,174.70000,0.26048383
2017-05-25 10:26:52.620300000,174.70000,1.97420000
2017-05-25 10:26:53.453200000,175.00000,0.13158872
2017-05-25 10:26:53.460400000,175.00000,2.14139814
2017-05-25 10:26:59.677400000,174.70000,11.26671142
2017-05-25 10:26:59.697600000,174.25110,3.00440174
2017-05-25 10:27:00.306100000,175.00000,19.00000000
2017-05-25 10:27:28.074600000,174.90000,1.71428000
2017-05-25 10:27:32.838500000,174.32777,0.36790000
2017-05-25 10:27:38.894400000,174.90000,0.57145000
2017-05-25 10:27:52.106300000,174.90000,5.31357000
2017-05-25 10:27:52.119200000,174.99990,0.38100890
2017-05-25 10:28:08.539600000,174.99998,2.66600000
2017-05-25 10:28:15.580600000,175.00000,1.94742857
2017-05-25 10:28:23.930000000,174.99998,1.00337000
2017-05-25 10:28:28.302500000,174.99998,0.47250000
2017-05-25 10:28:34.341200000,174.99998,2.46693060
2017-05-25 10:28:39.460000000,175.00000,0.01400000
2017-05-25 10:28:42.268500000,175.00000,1.28500000
2017-05-25 10:29:00.851000000,174.99999,0.04411759
2017-05-25 10:29:04.478100000,174.99999,5.86878241
2017-05-25 10:29:04.494400000,174.99998,58.39119940
2017-05-25 10:29:04.498600000,174.99998,0.00100000
2017-05-25 10:29:04.511100000,174.59234,11.82599175
2017-05-25 10:29:04.524800000,174.59224,5.21437847
2017-05-25 10:29:04.537300000,174.30000,6.68604000
2017-05-25 10:29:04.582300000,174.25115,24.01341797
2017-05-25 10:29:14.751300000,174.99999,0.07473636
2017-05-25 10:29:14.761000000,174.99999,2.75080000
2017-05-25 10:29:14.775700000,175.00000,28.61217329
2017-05-25 10:29:14.780200000,175.00000,5.00000000
2017-05-25 10:29:14.825800000,175.00000,30.00000000
2017-05-25 10:29:21.368400000,175.18480,0.16411318
2017-05-25 10:29:21.383200000,175.23496,0.02951962
2017-05-25 10:29:27.003700000,175.23820,0.24319202
2017-05-25 10:29:36.486000000,175.00000,0.14921254
2017-05-25 10:29:36.699200000,175.23820,0.16449478
2017-05-25 10:29:36.717800000,175.27000,2.50067740
2017-05-25 10:29:41.159900000,175.00000,34.79120000
2017-05-25 10:29:53.639000000,175.00000,0.16195027
2017-05-25 10:30:09.448300000,175.00000,8.92813657
2017-05-25 10:30:09.458500000,175.00000,0.00100000
2017-05-25 10:30:09.478100000,174.50000,0.05000000
2017-05-25 10:30:09.493100000,174.25134,27.57500000
2017-05-25 10:30:09.507499999,174.25133,4.45486343
2017-05-25 10:30:11.024800000,175.27000,22.49932260
2017-05-25 10:30:12.410100000,175.28000,2.06383632
2017-05-25 10:30:44.672900000,175.00004,5.07240000
2017-05-25 10:30:44.688000000,175.00003,16.36500000
2017-05-25 10:30:44.699500000,175.00002,0.27644860
2017-05-25 10:30:44.712000000,175.00001,3.28615140
2017-05-25 10:30:51.807400000,175.00005,6.00000000
2017-05-25 10:30:53.882400000,175.28000,29.68782600
2017-05-25 10:30:54.369500000,175.28000,56.81818181
2017-05-25 10:31:06.401700000,175.00006,5.07240000
2017-05-25 10:31:06.410200000,175.00006,4.59020017
2017-05-25 10:31:06.424000000,175.00005,21.45700000
2017-05-25 10:31:06.431400000,175.00005,0.19911626
2017-05-25 10:31:06.446100000,174.25143,10.14493773
2017-05-25 10:31:06.460800000,174.25116,4.60992802
2017-05-25 10:31:06.475700000,174.20005,0.00100000
2017-05-25 10:31:06.519700000,174.10006,0.00100000
2017-05-25 10:31:06.533800000,174.10001,0.88450000
2017-05-25 10:31:06.548700000,174.10000,1.00000000
2017-05-25 10:31:06.563300000,174.00003,0.00100000
2017-05-25 10:31:06.577900000,174.00000,40.22988000
2017-05-25 10:31:06.585300000,174.00000,1.80922424
2017-05-25 10:31:06.590800000,174.00000,0.92416576
2017-05-25 10:31:06.773100000,173.99999,1.88658344
2017-05-25 10:31:06.788700000,173.99998,7.18906438
2017-05-25 10:31:12.805600000,175.27997,0.08746856
2017-05-25 10:31:12.831100000,175.27999,1.48167569
2017-05-25 10:31:12.849200000,175.28000,8.87897375
2017-05-25 10:31:52.846800000,175.27889,2.91333415
2017-05-25 10:31:52.865900000,175.27890,3.00440174
2017-05-25 10:31:52.869400000,175.27890,4.45359826
2017-05-25 10:31:52.884900000,175.28000,46.12584099
2017-05-25 10:31:55.311700000,173.99998,0.21640000
2017-05-25 10:31:58.313400000,175.28000,56.42534113
2017-05-25 10:31:58.324500000,175.33598,0.02951964
2017-05-25 10:31:58.334700000,175.38958,0.92323517
2017-05-25 10:31:58.344500000,175.38959,0.14584006
2017-05-25 10:31:58.349100000,175.38959,0.14584006
2017-05-25 10:32:09.567500000,174.50000,0.16670000
2017-05-25 10:32:09.693700000,175.27999,0.21307700
2017-05-25 10:32:12.922600000,174.50000,0.17360000
2017-05-25 10:32:16.256500000,175.27997,0.06000000
2017-05-25 10:32:17.480300000,175.49995,1.35000000
2017-05-25 10:32:24.368600000,175.49994,0.04000000
2017-05-25 10:32:25.480400000,175.27998,0.01890000
2017-05-25 10:32:26.458000000,175.49985,5.18290995
2017-05-25 10:32:26.478700000,175.49994,2.25577330
2017-05-25 10:32:26.484400000,175.49994,49.05849189
2017-05-25 10:32:28.752800000,175.27998,0.00126517
2017-05-25 10:32:29.392400000,175.27998,0.52830000
2017-05-25 10:32:32.812600000,175.49995,0.97276809
2017-05-25 10:32:41.363700000,175.27998,0.15000000
2017-05-25 10:32:48.549200000,175.27997,1.23662890
2017-05-25 10:32:55.565900000,175.27998,0.37590000
2017-05-25 10:32:55.965500000,175.27997,5.41993391
2017-05-25 10:32:57.703300000,175.27997,1.24000000
2017-05-25 10:33:08.621900000,175.27998,0.04240000
2017-05-25 10:33:09.303800000,175.27998,0.05858222
2017-05-25 10:33:09.407600000,175.27998,0.00100000
2017-05-25 10:33:09.425500000,175.27997,2.48041778
2017-05-25 10:33:16.787800000,175.27998,1.00000000
2017-05-25 10:33:23.511399999,175.27998,2.80110476
2017-05-25 10:33:23.590400000,175.27998,0.98929524
2017-05-25 10:33:23.612700000,175.27997,5.92749622
2017-05-25 10:33:24.336700000,175.27997,8.66239593
2017-05-25 10:33:24.353900000,175.27889,2.00000000
2017-05-25 10:33:32.501000000,175.27997,0.10000000
2017-05-25 10:33:34.565700000,175.27997,0.45764141
2017-05-25 10:33:34.569700000,175.27997,4.15070235
2017-05-25 10:33:34.584400000,175.27998,0.01378215
2017-05-25 10:33:42.236200000,175.49995,2.67723191
2017-05-25 10:33:42.255900000,175.49999,53.81994323
2017-05-25 10:33:45.869100000,175.27997,0.50000000
2017-05-25 10:33:51.617800000,175.27997,0.05764141
2017-05-25 10:33:51.674100000,175.49994,0.17553358
2017-05-25 10:33:54.910900000,175.49993,0.50349600
2017-05-25 10:33:55.039400000,175.49999,3.31844292
2017-05-25 10:34:00.219500000,175.49999,1.00000000
2017-05-25 10:34:36.361200000,175.49994,1.10000000
2017-05-25 10:34:47.318600000,175.49899,1.25113277
2017-05-25 10:34:47.333500000,175.49900,0.74886723
2017-05-25 10:34:49.694500000,175.28000,0.01119992
2017-05-25 10:34:49.717500000,175.28000,0.50259690
2017-05-25 10:34:54.638600000,175.49899,0.01820000
2017-05-25 10:34:54.659900000,175.49900,0.08596744
2017-05-25 10:35:16.347300000,175.28001,0.20295591
2017-05-25 10:35:16.354600000,175.28001,0.51234799
2017-05-25 10:35:25.110700000,175.28000,0.20620000
2017-05-25 10:35:49.270100000,175.28002,0.28900676
2017-05-25 10:35:54.659600000,175.28002,0.12927829
2017-05-25 10:36:00.055100000,175.49994,2.84195054
2017-05-25 10:36:00.072900000,175.49998,10.00000000
2017-05-25 10:36:00.088900000,175.50000,41.45870623
2017-05-25 10:36:00.093100000,175.50000,8.44970100
2017-05-25 10:36:00.096400000,175.50000,4.63183702
2017-05-25 10:36:12.575700000,175.50000,1.00000000
2017-05-25 10:36:24.709200000,175.30000,0.01020000
2017-05-25 10:36:34.632700000,175.30000,1.24477467
2017-05-25 10:36:52.136300000,175.49998,0.20167006
2017-05-25 10:36:52.141200000,175.49998,0.22723457
2017-05-25 10:36:52.150600000,175.49999,0.14088537
2017-05-25 10:36:55.608200000,175.49999,0.75000000
2017-05-25 10:36:55.922000000,175.49999,2.08498200
2017-05-25 10:36:56.753800000,175.49999,0.10400000
2017-05-25 10:37:00.962000000,175.50000,14.57440900
2017-05-25 10:37:01.671400000,175.50000,5.00000000
2017-05-25 10:37:03.232800000,175.50000,0.13999100
2017-05-25 10:37:11.286800000,175.49999,1.03404200
2017-05-25 10:37:11.305400000,175.49994,3.00000000
2017-05-25 10:37:20.349000000,175.30000,15.13095800
2017-05-25 10:37:20.370000000,175.50000,36.07806298
2017-05-25 10:37:20.374900000,175.50000,5.28815416
2017-05-25 10:37:30.470800000,175.28013,0.48896996
2017-05-25 10:37:30.487400000,175.28012,0.00100000
2017-05-25 10:37:30.502600000,175.28002,0.00100000
2017-05-25 10:37:30.517499999,175.28000,1.42873004
2017-05-25 10:37:35.141700000,175.28000,0.70041419
2017-05-25 10:37:35.161800000,175.00000,0.57142000
2017-05-25 10:37:35.166500000,175.00000,0.85142000
2017-05-25 10:37:49.451900000,175.00000,1.02300000
2017-05-25 10:37:49.792900000,175.00000,16.85374581
2017-05-25 10:37:49.808200000,175.28012,1.02210501
2017-05-25 10:37:49.822600000,175.49989,0.10331402
2017-05-25 10:37:49.838700000,175.50000,14.12977825
2017-05-25 10:37:49.844500000,175.50000,5.00000000
2017-05-25 10:37:49.861300000,175.50999,5.69870041
2017-05-25 10:37:49.893400000,175.51000,1.00000000
2017-05-25 10:37:49.908700000,175.54721,2.12139146
2017-05-25 10:37:49.926100000,175.59834,0.20668683
2017-05-25 10:37:49.942400000,175.60000,4.65395000
2017-05-25 10:37:49.958900000,175.60004,5.70750335
2017-05-25 10:37:52.481900000,174.67620,0.25327060
2017-05-25 10:37:52.497200000,174.67619,3.50414691
2017-05-25 10:37:52.500399999,174.67619,21.75300000
2017-05-25 10:37:52.512599999,174.67618,3.58092647
2017-05-25 10:37:52.524499999,174.63436,0.01020000
2017-05-25 10:37:52.536300000,174.57117,0.49845602
2017-05-25 10:38:00.367700000,175.50997,4.30914570
2017-05-25 10:38:03.445300000,175.49998,0.00016533
2017-05-25 10:38:03.450800000,175.49998,2.07656000
2017-05-25 10:38:03.456800000,175.49998,0.20247467
2017-05-25 10:38:30.766500000,175.28011,3.98113610
2017-05-25 10:38:30.784300000,175.28012,4.76108339
2017-05-25 10:38:30.788800000,175.28012,1.25778051
2017-05-25 10:38:35.082500000,175.28004,0.07160942
2017-05-25 10:38:35.098900000,174.57117,4.48884042
2017-05-25 10:38:35.111600000,174.50110,0.63955016
2017-05-25 10:38:35.234000000,175.28012,0.56784868
2017-05-25 10:38:35.239100000,175.28012,0.00130770
2017-05-25 10:38:45.642400000,175.28004,0.01021021
2017-05-25 10:38:45.660000000,175.28012,0.25075230
2017-05-25 10:38:45.664700000,175.28012,2.05105400
2017-05-25 10:38:45.668500000,175.28012,0.90769875
2017-05-25 10:38:45.673000000,175.28012,3.05327467
2017-05-25 10:38:45.683400000,175.49999,0.01020000
2017-05-25 10:38:45.693100000,175.60004,1.29249665
2017-05-25 10:38:45.703300000,175.68100,0.08000000
2017-05-25 10:38:45.733900000,175.69819,0.14617113
2017-05-25 10:38:45.744700000,175.75000,0.11385600
2017-05-25 10:38:45.755400000,175.78469,0.79493503
2017-05-25 10:38:45.765900000,175.78959,0.18366841
2017-05-25 10:38:45.776400000,175.83158,0.05065307
2017-05-25 10:38:45.817600000,175.90333,0.03440704
2017-05-25 10:38:45.827600000,175.97287,2.26152274
2017-05-25 10:39:35.643800000,175.00000,17.14285714
2017-05-25 10:39:35.655600000,175.00000,12.85714286
2017-05-25 10:39:56.159000000,175.30001,0.15410000
2017-05-25 10:40:10.316100000,175.49979,1.11230000
2017-05-25 10:40:14.269900000,175.49979,0.11170000
2017-05-25 10:40:14.982600000,175.49979,0.21163735
2017-05-25 10:40:14.989600000,175.49979,1.56436265
2017-05-25 10:40:15.003200000,175.30001,4.72250000
2017-05-25 10:40:15.116400000,175.30000,7.33029092
2017-05-25 10:40:15.130800000,175.00002,3.09866409
2017-05-25 10:40:15.144600000,175.00000,2.14285714
2017-05-25 10:40:15.151600000,175.00000,13.50000000
2017-05-25 10:40:15.157900000,175.00000,17.42968785
2017-05-25 10:40:25.706700000,175.29998,0.06210000
2017-05-25 10:40:25.730800000,175.29999,2.05613800
2017-05-25 10:40:27.275800000,175.29999,1.62195640
2017-05-25 10:40:27.288700000,175.30000,0.06210000
2017-05-25 10:40:27.300000000,175.50000,18.31594360
